lr-SGD,step,train_loss,epoch,test_loss,test_acc,test_f1,test_auc
0.004515908472708802,49,,,,,,
,49,1.1906471252441406,1,,,,
0.006094337346443185,99,,,,,,
,99,1.3521459102630615,2,,,,
0.00870017525534593,149,,,,,,
,149,0.9220532178878784,4,,,,
0.012275101259100904,199,,,,,,
,199,1.7684898376464844,5,,,,
0.01673910537497382,249,,,,,,
,249,3.1596004962921143,7,,,,
0.02199227927147432,299,,,,,,
,299,0.943926215171814,8,,,,
0.0279170523045338,349,,,,,,
,349,1.0577296018600464,9,,,,
0.034380822851746165,399,,,,,,
,399,0.9613165855407715,11,,,,
0.04123892605310105,449,,,,,,
,449,1.268131971359253,12,,,,
0.048337871537565906,499,,,,,,
,499,1.0122052431106567,14,,,,
0.055518778672353684,549,,,,,,
,549,1.5946475267410278,15,,,,
0.06262093245098105,599,,,,,,
,599,2.14096999168396,17,,,,
0.06948538043622075,649,,,,,,
,649,1.0712003707885742,18,,,,
0.0759584902552062,699,,,,,,
,699,1.3576874732971191,19,,,,
0.08189538802682489,749,,,,,,
,749,1.0437514781951904,21,,,,
0.08716320076637632,799,,,,,,
,799,1.1850374937057495,22,,,,
0.09164403019963155,849,,,,,,
,849,0.9911487698554993,24,,,,
0.09523759142972464,899,,,,,,
,899,1.557063341140747,25,,,,
0.09786345740119423,949,,,,,,
,949,1.1955702304840088,27,,,,
0.09946285892809936,999,,,,,,
,999,0.982731282711029,28,,,,
0.1,1049,,,,,,
,1049,1.186840534210205,29,,,,
0.09989727004843828,1099,,,,,,
,1099,0.9806643128395081,31,,,,
0.09958950233315954,1149,,,,,,
,1149,1.3002870082855225,32,,,,
0.09907796153772187,1199,,,,,,
,1199,1.0271673202514648,34,,,,
0.09836474969297887,1249,,,,,,
,1249,1.5028181076049805,35,,,,
0.09745279753938403,1299,,,,,,
,1299,1.1616653203964233,37,,,,
0.09634585248394963,1349,,,,,,
,1349,0.9465849995613098,38,,,,
0.09504846320134738,1399,,,,,,
,1399,1.1808727979660034,39,,,,
0.09356596094242865,1449,,,,,,
,1449,0.8470919728279114,41,,,,
0.09190443762697105,1499,,,,,,
,1499,1.3064663410186768,42,,,,
0.09007072081067347,1549,,,,,,
,1549,1.0176407098770142,44,,,,
0.08807234562926505,1599,,,,,,
,1599,1.4952924251556396,45,,,,
0.08591752383501637,1649,,,,,,
,1649,1.1821980476379395,47,,,,
0.0836151100528878,1699,,,,,,
,1699,0.9741705656051636,48,,,,
0.0811745653949763,1749,,,,,,
,1749,1.1445893049240112,49,,,,
0.07860591858277646,1799,,,,,,
,1799,0.9447976350784302,51,,,,
0.07591972473701261,1849,,,,,,
,1849,1.274803876876831,52,,,,
0.07312702200438372,1899,,,,,,
,1899,1.031949520111084,54,,,,
0.07023928619945106,1949,,,,,,
,1949,1.508059024810791,55,,,,
0.0672683836480545,1999,,,,,,
,1999,1.0858441591262817,57,,,,
0.0642265224260343,2049,,,,,,
,2049,0.9056346416473389,58,,,,
0.06112620219362893,2099,,,,,,
,2099,1.1035659313201904,59,,,,
0.057980162831689955,2149,,,,,,
,2149,0.8570892214775085,61,,,,
0.054801332090778906,2199,,,,,,
,2199,1.3369419574737549,62,,,,
0.051602772468267256,2249,,,,,,
,2249,0.9703102111816406,64,,,,
0.048397627531732754,2299,,,,,,
,2299,1.4677821397781372,65,,,,
0.0451990679092211,2349,,,,,,
,2349,1.0405285358428955,67,,,,
0.042020237168310055,2399,,,,,,
,2399,0.8582421541213989,68,,,,
0.03887419780637107,2449,,,,,,
,2449,0.9782218337059021,69,,,,
0.035773877573965704,2499,,,,,,
,2499,0.8851584196090698,71,,,,
0.03273201635194551,2549,,,,,,
,2549,1.3421858549118042,72,,,,
0.029761113800548935,2599,,,,,,
,2599,0.9073494672775269,74,,,,
0.026873377995616298,2649,,,,,,
,2649,1.2713170051574707,75,,,,
0.024080675262987412,2699,,,,,,
,2699,1.0190283060073853,77,,,,
0.021394481417223554,2749,,,,,,
,2749,0.8151136040687561,78,,,,
0.0188258346050237,2799,,,,,,
,2799,0.7542674541473389,79,,,,
0.016385289947112216,2849,,,,,,
,2849,0.630320131778717,81,,,,
0.014082876164983646,2899,,,,,,
,2899,1.1566686630249023,82,,,,
0.011928054370734954,2949,,,,,,
,2949,0.842522382736206,84,,,,
0.009929679189326548,2999,,,,,,
,2999,0.9189364314079285,85,,,,
0.008095962373028948,3049,,,,,,
,3049,0.7241225242614746,87,,,,
0.006434439057571355,3099,,,,,,
,3099,0.5080245733261108,88,,,,
0.004951936798652629,3149,,,,,,
,3149,0.39630213379859924,89,,,,
0.0036545475160503875,3199,,,,,,
,3199,0.28795790672302246,91,,,,
0.0025476024606159702,3249,,,,,,
,3249,0.7394933700561523,92,,,,
0.0016356503070211353,3299,,,,,,
,3299,0.26450788974761963,94,,,,
0.0009224384622781263,3349,,,,,,
,3349,0.47200140357017517,95,,,,
0.00041089766684046205,3399,,,,,,
,3399,0.1637709140777588,97,,,,
0.00010312995156173331,3449,,,,,,
,3449,0.11404596269130707,98,,,,
0,0000004,3499,,,,,,
,3499,0.08579690754413605,99,,,,
,3500,,100,0.1588181018829346,0.95137529134750366,0.92137529134750366,0.870983350276947
